congestion_distance,speed,status,congestion_trend,section_desc,name,time
560,22.93,4,加重,"南向北,大山桥",大山桥,2023-03-16 16:35:41
560,34.07,3,加重,"北向南,大山桥",大山桥,2023-03-16 16:35:41
990,14.55,4,加重,"东向西,从左家庄桥到东直门北桥",机场高速,2023-03-16 16:35:43
5130,24.01,3,加重,"南向北,从四元桥到五元桥",机场高速,2023-03-16 16:35:43
560,22.27,4,加重,"南向北,大山桥",大山桥,2023-03-16 16:42:47
560,26.31,3,加重,"北向南,大山桥",大山桥,2023-03-16 16:42:47
7200,24.29,3,加重,"南向北,从三元桥到五元桥",机场高速,2023-03-16 16:42:49
990,22.92,3,加重,"东向西,从左家庄桥到东直门北桥",机场高速,2023-03-16 16:42:49
560,23.9,3,持平,"南向北,大山桥",大山桥,2023-03-16 17:02:38
560,29.6,3,持平,"北向南,大山桥",大山桥,2023-03-16 17:02:38
3650,18.86,4,加重,"北向西,从天竺桥到苇沟桥",机场高速,2023-03-16 17:02:40
6850,22.27,3,持平,"南向北,从三元桥到五元桥",机场高速,2023-03-16 17:02:40
560,26.08,3,持平,"北向南,大山桥",大山桥,2023-03-16 17:07:57
560,33.17,3,持平,"南向北,大山桥",大山桥,2023-03-16 17:07:57
560,26.57,3,持平,"南向北,大山桥",大山桥,2023-03-16 17:13:15
560,26.5,3,持平,"北向南,大山桥",大山桥,2023-03-16 17:13:15
560,23.93,3,加重,"南向北,大山桥",大山桥,2023-03-16 17:18:34
560,28.78,3,持平,"北向南,大山桥",大山桥,2023-03-16 17:18:34
560,26.56,3,加重,"南向北,大山桥",大山桥,2023-03-16 17:23:51
560,25.83,3,加重,"北向南,大山桥",大山桥,2023-03-16 17:23:51
560,20.74,4,加重,"南向北,大山桥",大山桥,2023-03-16 17:29:09
560,29.39,3,加重,"北向南,大山桥",大山桥,2023-03-16 17:29:09
560,23.63,3,持平,"南向北,大山桥",大山桥,2023-03-16 17:34:27
560,28.68,3,持平,"北向南,大山桥",大山桥,2023-03-16 17:34:27
560,23.49,3,加重,"北向南,大山桥",大山桥,2023-03-16 17:39:44
560,26.07,3,加重,"南向北,大山桥",大山桥,2023-03-16 17:39:44
560,28.71,3,加重,"北向南,大山桥",大山桥,2023-03-16 17:45:02
560,34.81,3,加重,"南向北,大山桥",大山桥,2023-03-16 17:45:02
560,25.32,3,加重,"北向南,大山桥",大山桥,2023-03-16 17:50:19
560,27.67,3,加重,"南向北,大山桥",大山桥,2023-03-16 17:50:19
560,25.07,3,加重,"南向北,大山桥",大山桥,2023-03-16 18:43:13
560,27.47,3,加重,"北向南,大山桥",大山桥,2023-03-16 18:43:13
8260,16.99,4,加重,"西向北,从香河园桥到五元桥",机场高速,2023-03-16 18:43:14
1410,16.57,4,加重,"北向西,从左家庄桥到东直门北桥",机场高速,2023-03-16 18:43:14
560,27.05,3,持平,"南向北,大山桥",大山桥,2023-03-16 18:48:30
560,32.38,3,缓解,"北向南,大山桥",大山桥,2023-03-16 18:48:30
990,14.95,4,加重,"东向西,从左家庄桥到东直门北桥",机场高速,2023-03-16 18:48:31
8760,17.77,4,持平,"西向北,从香河园桥到五元桥",机场高速,2023-03-16 18:48:31
560,27.58,3,持平,"南向北,大山桥",大山桥,2023-03-16 18:53:47
7600,17.72,4,持平,"南向北,从左家庄桥到五元桥",机场高速,2023-03-16 18:53:48
990,19.25,3,加重,"东向西,从左家庄桥到东直门北桥",机场高速,2023-03-16 18:53:48
560,24.72,3,持平,"南向北,大山桥",大山桥,2023-03-16 18:59:05
560,23.27,3,加重,"南向北,大山桥",大山桥,2023-03-16 19:04:26
560,18.06,4,加重,"南向北,大山桥",大山桥,2023-03-16 19:09:45
560,26.48,3,加重,"南向北,大山桥",大山桥,2023-03-16 19:15:02
560,22.03,4,加重,"南向北,大山桥",大山桥,2023-03-16 19:20:19
560,24.36,3,持平,"南向北,大山桥",大山桥,2023-03-16 19:25:37
560,23.42,3,持平,"南向北,大山桥",大山桥,2023-03-16 19:30:54
560,32.19,3,加重,"北向南,大山桥",大山桥,2023-03-17 10:54:53
2700,29.27,3,加重,"东向西,从苇沟桥到北皋桥",机场高速,2023-03-17 10:54:54
560,28.11,3,持平,"北向南,大山桥",大山桥,2023-03-17 11:18:43
560,34.2,3,缓解,"北向南,大山桥",大山桥,2023-03-17 11:38:53
560,31.07,3,持平,"北向南,大山桥",大山桥,2023-03-17 11:59:04
1820,29.77,3,持平,"北向南,大山桥附近",机场高速,2023-03-17 11:59:06
770,30,3,加重,"东向西,从苇沟桥到北皋桥",机场高速,2023-03-17 12:19:16
560,35.21,3,持平,"北向南,大山桥",大山桥,2023-03-17 12:39:26
1930,23.53,3,加重,"南向北,五元桥附近",机场高速,2023-03-17 12:39:27
1510,29.9,3,持平,"北向南,大山桥附近",机场高速,2023-03-17 12:39:27
560,29.71,3,加重,"南向北,大山桥",大山桥,2023-03-17 12:59:37
560,30.98,3,加重,"北向南,大山桥",大山桥,2023-03-17 12:59:37
2590,26.43,3,加重,"东向西,从温榆桥到苇沟桥",机场高速,2023-03-17 12:59:38
2650,27.92,3,加重,"南向北,从大山桥到五元桥",机场高速,2023-03-17 12:59:38
560,29.64,3,持平,"南向北,大山桥",大山桥,2023-03-17 13:19:49
560,29.46,3,持平,"北向南,大山桥",大山桥,2023-03-17 13:19:49
5180,29.6,3,持平,"东向南,从北皋桥到大山桥",机场高速,2023-03-17 13:19:50
3490,31.21,3,持平,"南向北,从大山桥到五元桥",机场高速,2023-03-17 13:19:50
560,24.5,3,加重,"南向北,大山桥",大山桥,2023-03-17 13:40:02
560,23.28,3,持平,"北向南,大山桥",大山桥,2023-03-17 13:40:02
700,18.87,3,加重,"东向西,从香河园桥到东直门北桥",机场高速,2023-03-17 13:40:03
3690,27.59,3,加重,"南向北,从大山桥到五元桥",机场高速,2023-03-17 13:40:03
560,25.11,3,持平,"北向南,大山桥",大山桥,2023-03-17 14:00:13
560,35.11,3,持平,"南向北,大山桥",大山桥,2023-03-17 14:00:13
560,26.19,3,持平,"北向南,大山桥",大山桥,2023-03-17 14:20:24
560,26.5,3,持平,"北向南,大山桥",大山桥,2023-03-17 14:40:34
560,28.31,3,持平,"北向南,大山桥",大山桥,2023-03-17 15:00:45
560,30.72,3,加重,"南向北,大山桥",大山桥,2023-03-17 15:00:45
3350,24.67,3,加重,"南向北,从大山桥到五元桥",机场高速,2023-03-17 15:00:46
4200,32.29,3,持平,"北向南,从五元桥到大山桥",机场高速,2023-03-17 15:00:46
560,28.22,3,加重,"南向北,大山桥",大山桥,2023-03-17 15:20:56
560,27.64,3,持平,"北向南,大山桥",大山桥,2023-03-17 15:20:56
3990,28.4,3,持平,"南向北,从大山桥到五元桥",机场高速,2023-03-17 15:20:57
2590,31.12,3,持平,"北向南,从五元桥到大山桥",机场高速,2023-03-17 15:20:57
560,23.48,3,持平,"南向北,大山桥",大山桥,2023-03-17 15:41:06
560,33.34,3,持平,"北向南,大山桥",大山桥,2023-03-17 15:41:06
4850,27.6,3,持平,"南向北,从四元桥到五元桥",机场高速,2023-03-17 15:41:08
1480,31.1,3,持平,"北向南,大山桥附近",机场高速,2023-03-17 15:41:08
560,26.0,3,持平,"南向北,大山桥",大山桥,2023-03-17 16:01:17
560,30.46,3,持平,"北向南,大山桥",大山桥,2023-03-17 16:01:17
7080,23.28,3,持平,"南向北,从三元桥到五元桥",机场高速,2023-03-17 16:01:18
1480,28.85,3,持平,"北向南,大山桥附近",机场高速,2023-03-17 16:01:18
560,28.23,3,持平,"南向北,大山桥",大山桥,2023-03-17 16:21:27
560,31.55,3,持平,"北向南,大山桥",大山桥,2023-03-17 16:21:27
560,27.42,3,加重,"南向北,大山桥",大山桥,2023-03-17 16:41:38
560,31.27,3,加重,"北向南,大山桥",大山桥,2023-03-17 16:41:38
560,23.33,3,加重,"南向北,大山桥",大山桥,2023-03-17 17:01:49
560,33.48,3,加重,"北向南,大山桥",大山桥,2023-03-17 17:01:49
4090,14.42,4,加重,"北向西,从天竺桥到苇沟桥",机场高速,2023-03-17 17:01:51
9050,14.71,4,加重,"西向北,从香河园桥到五元桥",机场高速,2023-03-17 17:01:51
560,18.2,4,加重,"南向北,大山桥",大山桥,2023-03-17 17:22:01
560,27.68,3,加重,"北向南,大山桥",大山桥,2023-03-17 17:22:01
9410,14.79,4,加重,"西向北,从东直门北桥到五元桥",机场高速,2023-03-17 17:22:02
1410,15.05,4,加重,"北向西,从左家庄桥到东直门北桥",机场高速,2023-03-17 17:22:02
560,29.99,3,缓解,"南向北,大山桥",大山桥,2023-03-17 18:17:16
560,29.68,3,持平,"北向南,大山桥",大山桥,2023-03-17 18:17:16
670,12.08,3,加重,"南向北,从南湖渠桥到大山桥",望京东路,2023-03-17 18:17:16
560,24.2,3,持平,"南向北,大山桥",大山桥,2023-03-17 18:37:31
560,30.0,3,持平,"北向南,大山桥",大山桥,2023-03-17 18:37:31
9560,13.36,4,加重,"西向北,从东直门北桥到五元桥",机场高速,2023-03-17 18:37:32
990,20.49,3,加重,"东向西,从左家庄桥到东直门北桥",机场高速,2023-03-17 18:37:32
560,24.48,3,加重,"南向北,大山桥",大山桥,2023-03-17 19:13:46
560,17.28,4,加重,"南向北,大山桥",大山桥,2023-03-17 19:33:57
660,1.12,4,加重,"北向南,从花家地街辅路到花家地南街",阜通东大街,2023-03-17 19:33:59
530,3.15,4,加重,"南向北,四元西桥附近",阜通东大街,2023-03-17 19:33:59
560,16.62,4,持平,"南向北,大山桥",大山桥,2023-03-17 19:54:07
560,12.95,4,加重,"南向北,大山桥",大山桥,2023-03-17 20:08:43
560,29.14,3,加重,"南向北,大山桥",大山桥,2023-03-17 20:28:54
560,36.58,3,加重,"北向南,大山桥",大山桥,2023-03-17 20:28:54
12290,14.69,4,加重,"南向东,从三元桥到温榆桥",机场高速,2023-03-17 20:28:55
1820,32.52,3,加重,"北向南,大山桥附近",机场高速,2023-03-17 20:28:55
560,29.76,3,加重,"南向北,大山桥",大山桥,2023-03-17 20:49:04
6740,21.44,4,加重,"南向北,从四元桥到北皋桥",机场高速,2023-03-17 20:49:06
890,31.23,3,加重,"北向南,大山桥附近",机场高速,2023-03-17 20:49:06
560,33.98,3,持平,"南向北,大山桥",大山桥,2023-03-17 21:09:14
3050,29.55,3,持平,"南向北,从大山桥到五元桥",机场高速,2023-03-17 21:09:16
560,26.5,3,加重,"南向北,大山桥",大山桥,2023-03-17 21:29:25
560,26.18,3,持平,"南向北,大山桥",大山桥,2023-03-17 21:49:37
560,29.53,3,缓解,"南向北,大山桥",大山桥,2023-03-17 22:09:48
560,21.94,4,加重,"南向北,大山桥",大山桥,2023-03-17 22:29:59
560,24.15,3,持平,"南向北,大山桥",大山桥,2023-03-17 22:50:09
560,28.97,3,缓解,"南向北,大山桥",大山桥,2023-03-18 10:50:16
560,28.41,3,持平,"北向南,大山桥",大山桥,2023-03-18 10:50:16
560,23.02,4,加重,"南向北,大山桥",大山桥,2023-03-18 11:10:27
560,26.98,3,持平,"北向南,大山桥",大山桥,2023-03-18 11:10:27
560,30.98,3,持平,"南向北,大山桥",大山桥,2023-03-18 11:30:38
560,29.01,3,持平,"北向南,大山桥",大山桥,2023-03-18 11:30:38
560,26.75,3,加重,"南向北,大山桥",大山桥,2023-03-18 11:50:48
560,25.68,3,持平,"北向南,大山桥",大山桥,2023-03-18 11:50:48
560,22.14,3,持平,"北向南,大山桥",大山桥,2023-03-18 15:05:52
560,25.25,3,加重,"北向南,大山桥",大山桥,2023-03-18 15:26:03
560,23.25,3,加重,"北向南,大山桥",大山桥,2023-03-18 15:46:12
1480,25.11,3,加重,"北向南,大山桥附近",机场高速,2023-03-18 15:46:13
2170,26.54,3,加重,"南向北,从五元桥到北皋桥",机场高速,2023-03-18 15:46:13
560,26.78,3,加重,"北向南,大山桥",大山桥,2023-03-18 16:06:25
560,23.89,3,加重,"南向北,大山桥",大山桥,2023-03-18 16:26:36
560,26.22,3,持平,"北向南,大山桥",大山桥,2023-03-18 16:26:36
1790,14.84,4,加重,"北向西,从三元东桥到东直门北桥",机场高速,2023-03-18 16:26:37
5130,27.68,3,持平,"南向北,从四元桥到五元桥",机场高速,2023-03-18 16:26:37
560,24.51,3,加重,"南向北,大山桥",大山桥,2023-03-18 16:46:47
560,25.15,3,持平,"北向南,大山桥",大山桥,2023-03-18 16:46:47
560,23.65,3,持平,"南向北,大山桥",大山桥,2023-03-18 17:06:57
560,26.08,3,持平,"北向南,大山桥",大山桥,2023-03-18 17:06:57
560,25.06,3,持平,"北向南,大山桥",大山桥,2023-03-18 17:27:08
560,35.61,3,缓解,"南向北,大山桥",大山桥,2023-03-18 17:27:08
560,28.26,3,加重,"北向南,大山桥",大山桥,2023-03-18 17:47:18
560,22.93,3,持平,"北向南,大山桥",大山桥,2023-03-18 18:07:28
560,26.19,3,加重,"南向北,大山桥",大山桥,2023-03-18 18:07:28
1790,14.52,4,加重,"北向西,从三元东桥到东直门北桥",机场高速,2023-03-18 18:07:30
2650,21.27,4,加重,"南向北,从大山桥到五元桥",机场高速,2023-03-18 18:07:30
560,27.22,3,持平,"北向南,大山桥",大山桥,2023-03-18 18:27:39
560,33.25,3,持平,"南向北,大山桥",大山桥,2023-03-18 18:27:39
1410,18.62,4,加重,"北向西,从左家庄桥到东直门北桥",机场高速,2023-03-18 18:27:40
3690,26.43,3,持平,"南向北,从大山桥到五元桥",机场高速,2023-03-18 18:27:40
560,24.41,3,持平,"北向南,大山桥",大山桥,2023-03-18 18:47:51
560,28.65,3,持平,"南向北,大山桥",大山桥,2023-03-18 18:47:51
1790,15.58,4,加重,"北向西,从三元东桥到东直门北桥",机场高速,2023-03-18 18:47:52
3290,25.88,3,持平,"南向北,从大山桥到五元桥",机场高速,2023-03-18 18:47:52
