congestion_distance,speed,status,congestion_trend,section_desc,name,time
530,5.36,4,加重,"北向南,从光华桥到建国门外大街辅路",东三环中路辅路,2023-03-16 16:35:51
810,23.47,3,加重,"北向南,京广桥",京广桥,2023-03-16 16:35:52
2060,23.81,3,加重,"北向南,从光华桥到双井桥",东三环中路,2023-03-16 16:42:56
810,25.9,3,加重,"北向南,京广桥",京广桥,2023-03-16 16:42:58
770,20.88,3,加重,"南向北,从国贸桥到京广桥",东三环中路,2023-03-16 17:02:48
2060,27.34,3,加重,"北向南,从光华桥到双井桥",东三环中路,2023-03-16 17:02:48
810,21.58,3,加重,"北向南,京广桥",京广桥,2023-03-16 17:02:49
720,15.68,4,加重,"南向北,从国贸桥到光华桥",东三环中路,2023-03-16 17:08:05
1800,17.6,4,加重,"北向南,从国贸桥到双井桥",东三环中路,2023-03-16 17:08:05
640,11.53,3,加重,"北向南,从京广桥到光华桥",东三环中路辅路,2023-03-16 17:08:06
3450,15.57,4,加重,"北向南,从燕莎桥到京广桥",东三环北路,2023-03-16 17:08:06
3200,28.31,3,持平,"南向北,从京广桥到燕莎桥",东三环北路,2023-03-16 17:08:06
810,14.94,4,加重,"北向南,京广桥",京广桥,2023-03-16 17:08:06
520,33.17,3,加重,"南向北,京广桥",京广桥,2023-03-16 17:08:06
3680,11.29,4,加重,"北向南,从三元东桥到京广桥",东三环北路,2023-03-16 17:13:23
3200,20.29,3,加重,"南向北,从京广桥到燕莎桥",东三环北路,2023-03-16 17:13:23
520,25.67,3,加重,"东向西,从三元东桥到三元桥",东三环北路,2023-03-16 17:13:23
810,20.84,3,加重,"南向北,京广桥",京广桥,2023-03-16 17:13:23
810,30.29,3,缓解,"北向南,京广桥",京广桥,2023-03-16 17:13:23
4280,15.63,4,持平,"西向南,从三元东桥到京广桥",东三环北路,2023-03-16 17:18:42
3330,19.99,3,加重,"南向北,从京广桥到燕莎桥",东三环北路,2023-03-16 17:18:42
520,26.63,3,加重,"东向西,从三元东桥到三元桥",东三环北路,2023-03-16 17:18:42
810,14.79,4,加重,"南向北,京广桥",京广桥,2023-03-16 17:18:43
810,31.45,3,缓解,"北向南,京广桥",京广桥,2023-03-16 17:18:43
1350,11.2,4,加重,"南向北,从国贸桥到京广桥",东三环中路,2023-03-16 17:24:00
2860,14.38,4,加重,"北向南,从京广桥到双井桥",东三环中路,2023-03-16 17:24:00
3330,16.95,4,加重,"南向北,从京广桥到燕莎桥",东三环北路,2023-03-16 17:24:00
4590,20.3,3,加重,"西向南,从三元桥到京广桥",东三环北路,2023-03-16 17:24:00
820,24.65,3,加重,"南向西,从三元东桥到三元桥",东三环北路,2023-03-16 17:24:00
810,12.12,4,加重,"南向北,京广桥",京广桥,2023-03-16 17:24:01
810,29.97,3,加重,"北向南,京广桥",京广桥,2023-03-16 17:24:01
1350,9.13,4,加重,"南向北,从国贸桥到京广桥",东三环中路,2023-03-16 17:29:17
2860,16.27,4,加重,"北向南,从京广桥到双井桥",东三环中路,2023-03-16 17:29:17
3330,17.28,4,加重,"南向北,从京广桥到燕莎桥",东三环北路,2023-03-16 17:29:17
4590,18.75,3,加重,"西向南,从三元桥到京广桥",东三环北路,2023-03-16 17:29:17
820,23.43,3,加重,"南向西,从三元东桥到三元桥",东三环北路,2023-03-16 17:29:17
810,16.25,4,加重,"南向北,京广桥",京广桥,2023-03-16 17:29:18
810,17.53,4,加重,"北向南,京广桥",京广桥,2023-03-16 17:29:18
1350,9.0,4,加重,"南向北,从国贸桥到京广桥",东三环中路,2023-03-16 17:34:36
2860,12.92,4,持平,"北向南,从京广桥到双井桥",东三环中路,2023-03-16 17:34:36
3330,15.3,4,持平,"南向北,从京广桥到燕莎桥",东三环北路,2023-03-16 17:34:36
4590,18.17,4,持平,"西向南,从三元桥到京广桥",东三环北路,2023-03-16 17:34:36
520,27.93,3,持平,"东向西,从三元东桥到三元桥",东三环北路,2023-03-16 17:34:36
810,9.29,4,加重,"南向北,京广桥",京广桥,2023-03-16 17:34:37
810,18.39,4,加重,"北向南,京广桥",京广桥,2023-03-16 17:34:37
1350,9.61,4,加重,"南向北,从国贸桥到京广桥",东三环中路,2023-03-16 17:39:51
2860,15.43,4,加重,"北向南,从京广桥到双井桥",东三环中路,2023-03-16 17:39:51
4590,16.79,4,加重,"西向南,从三元桥到京广桥",东三环北路,2023-03-16 17:39:52
3330,18.2,4,加重,"南向北,从京广桥到燕莎桥",东三环北路,2023-03-16 17:39:52
810,13.3,4,加重,"南向北,京广桥",京广桥,2023-03-16 17:39:53
810,17.72,4,加重,"北向南,京广桥",京广桥,2023-03-16 17:39:53
1350,11.76,4,加重,"南向北,从国贸桥到京广桥",东三环中路,2023-03-16 17:45:09
2860,14.18,4,加重,"北向南,从京广桥到双井桥",东三环中路,2023-03-16 17:45:09
1030,11.85,3,加重,"北向南,从光华桥到通惠河北路辅路",东三环中路辅路,2023-03-16 17:45:10
600,16.45,2,加重,"南向北,建国路辅路附近",东三环中路辅路,2023-03-16 17:45:10
4590,15.36,4,加重,"西向南,从三元桥到京广桥",东三环北路,2023-03-16 17:45:10
3330,21.25,3,加重,"南向北,从京广桥到燕莎桥",东三环北路,2023-03-16 17:45:10
810,16.78,4,加重,"南向北,京广桥",京广桥,2023-03-16 17:45:11
810,28.26,3,加重,"北向南,京广桥",京广桥,2023-03-16 17:45:11
1170,2.94,4,加重,"北向南,从京广桥到光华桥",东三环中路辅路,2023-03-16 18:43:21
1140,5.41,4,加重,"南向北,从双井桥到建国路辅路",东三环中路辅路,2023-03-16 18:43:21
810,4.36,4,加重,"北向南,京广桥",京广桥,2023-03-16 18:43:22
1800,12.01,4,缓解,"北向南,从国贸桥到双井桥",东三环中路,2023-03-16 18:48:38
650,14.48,4,加重,"南向北,从国贸桥到京广桥",东三环中路,2023-03-16 18:48:38
1170,3.48,4,加重,"北向南,从京广桥到光华桥",东三环中路辅路,2023-03-16 18:48:38
1680,8.88,3,持平,"南向北,从双井桥到光华桥",东三环中路辅路,2023-03-16 18:48:38
810,2.35,4,加重,"北向南,京广桥",京广桥,2023-03-16 18:48:39
