congestion_distance,speed,status,congestion_trend,section_desc,name,time
700,10.1,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-17 13:51:04
530,18.61,2,加重,"东向西,从师大天桥到化龙桥",延安东路,2023-03-17 14:11:13
530,19.75,2,加重,"东向西,从师大天桥到化龙桥",延安东路,2023-03-17 14:31:22
550,19.36,2,加重,"北向南,从旭东路到中山东路",宝山北路,2023-03-17 15:31:50
530,5.36,4,加重,"东向西,从师大天桥到化龙桥",延安东路,2023-03-17 16:29:26
760,14.97,2,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-03-17 16:49:39
700,12.61,2,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-17 16:49:41
780,7.27,4,加重,"南向北,从中山东路到旭东路",宝山北路,2023-03-17 17:09:51
1190,7.72,3,加重,"南向西,从蟠桃宫立交桥到师大天桥",宝山北路,2023-03-17 17:30:03
760,6.68,4,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-03-17 17:30:04
1830,8.16,4,持平,"南向北,从蟠桃宫立交桥到神奇大桥",宝山北路,2023-03-17 17:50:17
1060,22.41,3,加重,"北向南,从神奇大桥到师大天桥",宝山北路,2023-03-17 17:50:17
540,19.2,3,加重,"南向北,从师大天桥到宝山北路路口",宝山北路辅路,2023-03-17 17:50:18
760,10.71,3,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-03-17 17:50:18
530,9.58,3,加重,"东向西,从师大天桥到化龙桥",延安东路,2023-03-17 17:50:18
1060,9.42,4,缓解,"北向南,从神奇大桥到师大天桥",宝山北路,2023-03-17 18:10:32
1190,9.37,3,持平,"南向西,从蟠桃宫立交桥到师大天桥",宝山北路,2023-03-17 18:10:32
760,10.24,3,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-03-17 18:10:32
530,6.87,4,加重,"东向西,从师大天桥到化龙桥",延安东路,2023-03-17 18:10:32
550,11.42,2,加重,"东向西,从大吉巷到宝山北路",旭东路,2023-03-17 18:10:33
1220,8.04,4,加重,"北向南,师大天桥附近",宝山北路,2023-03-17 18:17:19
1190,7.5,4,持平,"南向西,从蟠桃宫立交桥到师大天桥",宝山北路,2023-03-17 18:17:19
700,6.25,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-17 18:17:20
1190,7.08,4,缓解,"南向西,从蟠桃宫立交桥到师大天桥",宝山北路,2023-03-17 18:37:34
760,6.43,4,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-03-17 18:37:35
1190,9.12,3,持平,"南向西,从蟠桃宫立交桥到师大天桥",宝山北路,2023-03-17 18:57:49
760,6.45,4,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-03-17 18:57:50
620,14.73,3,缓解,"南向北,从中山东路到旭东路",宝山北路,2023-03-17 19:16:16
720,5.93,4,持平,"南向西,从东山路到师大天桥",宝山北路辅路,2023-03-17 19:16:16
700,13.29,2,持平,"东向西,从旭东巷到宝山北路",旭东路,2023-03-17 19:16:17
820,9.32,3,加重,"北向西,从巫峰路到宝山北路",旭东路,2023-03-17 19:36:31
700,1.26,4,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-17 20:16:58
700,12.85,3,加重,"西向东,从宝山北路到旭东巷",旭东路,2023-03-17 20:16:58
530,9.34,3,加重,"东向西,从师大天桥到化龙桥",延安东路,2023-03-18 15:05:48
700,11.13,3,加重,"东向西,从旭东巷到宝山北路",旭东路,2023-03-18 15:05:49
760,14.95,2,加重,"南向西,从东山路到师大天桥",宝山北路辅路,2023-03-18 15:26:03
710,18.02,2,持平,"北向西,从师大天桥到化龙桥",延安东路,2023-03-18 15:26:03
700,12.55,2,持平,"东向西,从旭东巷到宝山北路",旭东路,2023-03-18 15:26:04
