congestion_distance,speed,status,congestion_trend,section_desc,name,time
300,10.6,3,加重,"西向东,从雨阳街到果戈里大街",巴陵街,2023-03-19 18:45:52
170,13.88,3,加重,"南向东,从中山路到雨阳街",巴陵街,2023-03-20 14:13:30
190,18.52,2,加重,"东向西,从比乐街到人和街",芦家街,2023-03-20 14:13:32
170,12.29,3,加重,"南向东,从中山路到雨阳街",巴陵街,2023-03-22 14:58:00
380,18.08,3,加重,"北向南,从中国青年创新创业板报到革新街",中山路,2023-03-22 16:39:06
470,17.46,2,加重,"南向北,赣水路附近",中山路,2023-03-22 16:39:06
700,7.06,4,加重,"南向北,民航路附近",中山路,2023-03-22 16:59:22
540,18.6,3,持平,"北向南,从中国青年创新创业板报到革新街",中山路,2023-03-22 16:59:22
240,24.1,2,加重,"北向南,赣水路附近",中山路,2023-03-22 16:59:22
190,17.15,2,缓解,"东向西,从河沟街到马家街",果戈里大街,2023-03-22 16:59:24
160,13.6,3,加重,"东向西,从巴陵街到比乐街",果戈里大街,2023-03-22 17:19:37
190,14.39,3,加重,"东向西,从河沟街到马家街",果戈里大街,2023-03-22 17:39:51
540,18.6,3,加重,"北向南,从中国青年创新创业板报到革新街",中山路,2023-03-22 18:00:02
260,18.48,2,持平,"北向南,文敏街附近",中山路,2023-03-22 18:00:02
700,17.47,2,缓解,"南向北,民航路附近",中山路,2023-03-22 18:00:02
1420,18.3,2,缓解,"东向西,从河沟街到一曼街",果戈里大街,2023-03-22 18:00:04
110,10.6,3,持平,"北向南,果戈里大街附近",河沟街,2023-03-22 18:00:05
1420,19.22,2,缓解,"东向西,从河沟街到一曼街",果戈里大街,2023-03-22 18:20:18
190,14.7,3,缓解,"东向西,从河沟街到马家街",果戈里大街,2023-03-22 18:40:31
110,9.36,3,加重,"南向西,河渠街附近",河沟街,2023-03-22 18:40:31
110,10.6,3,加重,"北向南,果戈里大街附近",河沟街,2023-03-22 20:41:52
