city,weather,temp,time
北京市,晴,11,2023-03-16 16:20:22
贵阳市,晴,21,2023-03-16 16:18:21
哈尔滨市,晴,0,2023-03-16 16:17:26
海口市,晴,26,2023-03-16 16:18:48
北京市,晴,11,2023-03-16 16:50:05
贵阳市,晴,22,2023-03-16 16:48:12
哈尔滨市,晴,0,2023-03-16 16:47:26
海口市,晴,26,2023-03-16 16:48:35
北京市,晴,11,2023-03-16 16:50:05
贵阳市,晴,22,2023-03-16 16:48:12
哈尔滨市,晴,0,2023-03-16 16:47:26
海口市,晴,26,2023-03-16 16:48:35
北京市,晴,11,2023-03-16 17:20:09
贵阳市,晴,22,2023-03-16 17:18:28
哈尔滨市,晴,0,2023-03-16 17:17:34
海口市,晴,26,2023-03-16 17:18:54
北京市,晴,11,2023-03-16 17:20:09
贵阳市,晴,22,2023-03-16 17:18:28
哈尔滨市,晴,0,2023-03-16 17:17:34
海口市,晴,26,2023-03-16 17:18:54
北京市,晴,11,2023-03-16 17:20:09
贵阳市,晴,22,2023-03-16 17:18:28
哈尔滨市,晴,0,2023-03-16 17:17:34
海口市,晴,26,2023-03-16 17:18:54
北京市,晴,10,2023-03-16 17:50:01
贵阳市,晴,21,2023-03-16 17:48:22
哈尔滨市,晴,0,2023-03-16 17:47:32
海口市,晴,25,2023-03-16 17:48:46
北京市,晴,10,2023-03-16 17:50:01
贵阳市,晴,21,2023-03-16 17:48:22
哈尔滨市,晴,0,2023-03-16 17:47:32
海口市,晴,25,2023-03-16 17:48:46
北京市,晴,10,2023-03-16 17:50:01
贵阳市,晴,21,2023-03-16 17:48:22
哈尔滨市,晴,0,2023-03-16 17:47:32
海口市,晴,25,2023-03-16 17:48:46
北京市,晴,10,2023-03-16 18:21:03
贵阳市,晴,21,2023-03-16 18:18:54
哈尔滨市,晴,0,2023-03-16 18:17:42
海口市,晴,25,2023-03-16 18:19:26
北京市,晴,10,2023-03-16 18:21:03
贵阳市,晴,21,2023-03-16 18:18:54
哈尔滨市,晴,0,2023-03-16 18:17:42
海口市,晴,25,2023-03-16 18:19:26
北京市,晴,10,2023-03-16 18:21:03
贵阳市,晴,21,2023-03-16 18:18:54
哈尔滨市,晴,0,2023-03-16 18:17:42
海口市,晴,25,2023-03-16 18:19:26
北京市,晴,9,2023-03-16 18:49:57
贵阳市,晴,20,2023-03-16 18:48:11
哈尔滨市,晴,-1,2023-03-16 18:47:25
海口市,晴,25,2023-03-16 18:48:35
北京市,晴,9,2023-03-16 18:49:57
贵阳市,晴,20,2023-03-16 18:48:11
哈尔滨市,晴,-1,2023-03-16 18:47:25
海口市,晴,25,2023-03-16 18:48:35
北京市,晴,9,2023-03-16 18:49:57
贵阳市,晴,20,2023-03-16 18:48:11
哈尔滨市,晴,-1,2023-03-16 18:47:25
海口市,晴,25,2023-03-16 18:48:35
北京市,晴,9,2023-03-16 19:20:15
贵阳市,晴,20,2023-03-16 19:18:24
哈尔滨市,晴,-1,2023-03-16 19:17:30
海口市,晴,25,2023-03-16 19:18:51
北京市,晴,9,2023-03-16 19:20:15
贵阳市,晴,20,2023-03-16 19:18:24
哈尔滨市,晴,-1,2023-03-16 19:17:30
海口市,晴,25,2023-03-16 19:18:51
北京市,晴,9,2023-03-16 19:20:15
贵阳市,晴,20,2023-03-16 19:18:24
哈尔滨市,晴,-1,2023-03-16 19:17:30
海口市,晴,25,2023-03-16 19:18:51
北京市,晴,5,2023-03-17 10:51:41
