weather,temperature,time,location
晴,11,2023-03-16 16:20:22,Beijing3
晴,11,2023-03-16 16:50:05,Beijing3
晴,11,2023-03-16 16:50:05,Beijing3
晴,11,2023-03-16 17:20:09,Beijing3
晴,11,2023-03-16 17:20:09,Beijing3
晴,11,2023-03-16 17:20:09,Beijing3
晴,10,2023-03-16 17:50:01,Beijing3
晴,10,2023-03-16 17:50:01,Beijing3
晴,10,2023-03-16 17:50:01,Beijing3
晴,10,2023-03-16 18:21:03,Beijing3
晴,10,2023-03-16 18:21:03,Beijing3
晴,10,2023-03-16 18:21:03,Beijing3
晴,9,2023-03-16 18:49:57,Beijing3
晴,9,2023-03-16 18:49:57,Beijing3
晴,9,2023-03-16 18:49:57,Beijing3
晴,9,2023-03-16 19:20:15,Beijing3
晴,9,2023-03-16 19:20:15,Beijing3
晴,9,2023-03-16 19:20:15,Beijing3
晴,5,2023-03-17 10:51:41,Beijing3
晴,5,2023-03-17 10:51:41,Beijing3
晴,5,2023-03-17 11:21:04,Beijing3
晴,5,2023-03-17 11:50:12,Beijing3
晴,5,2023-03-17 11:50:12,Beijing3
晴,5,2023-03-17 12:20:51,Beijing3
晴,6,2023-03-17 12:50:21,Beijing3
晴,6,2023-03-17 12:50:21,Beijing3
晴,6,2023-03-17 13:20:39,Beijing3
晴,8,2023-03-17 13:50:22,Beijing3
晴,8,2023-03-17 13:50:22,Beijing3
晴,8,2023-03-17 14:20:04,Beijing3
晴,8,2023-03-17 14:50:01,Beijing3
晴,8,2023-03-17 14:50:01,Beijing3
晴,8,2023-03-17 15:20:38,Beijing3
晴,10,2023-03-17 15:50:29,Beijing3
晴,10,2023-03-17 15:50:29,Beijing3
晴,10,2023-03-17 16:20:32,Beijing3
晴,9,2023-03-17 16:50:16,Beijing3
晴,9,2023-03-17 16:50:16,Beijing3
晴,9,2023-03-17 17:20:18,Beijing3
霾,9,2023-03-17 17:50:24,Beijing3
霾,9,2023-03-17 17:50:24,Beijing3
霾,9,2023-03-17 18:21:03,Beijing3
晴,8,2023-03-17 18:50:15,Beijing3
晴,8,2023-03-17 18:50:15,Beijing3
晴,8,2023-03-17 19:20:54,Beijing3
晴,7,2023-03-17 19:49:49,Beijing3
晴,7,2023-03-17 19:49:49,Beijing3
晴,7,2023-03-17 20:19:50,Beijing3
霾,7,2023-03-17 20:50:23,Beijing3
霾,7,2023-03-17 20:50:23,Beijing3
霾,7,2023-03-17 21:20:44,Beijing3
霾,5,2023-03-17 21:50:35,Beijing3
霾,5,2023-03-17 21:50:35,Beijing3
霾,5,2023-03-17 22:20:31,Beijing3
霾,4,2023-03-17 22:50:23,Beijing3
霾,4,2023-03-17 22:50:23,Beijing3
霾,4,2023-03-17 23:20:20,Beijing3
霾,3,2023-03-17 23:50:22,Beijing3
霾,3,2023-03-17 23:50:22,Beijing3
晴,12,2023-03-18 10:49:43,Beijing3
晴,12,2023-03-18 10:49:43,Beijing3
晴,12,2023-03-18 11:21:07,Beijing3
晴,14,2023-03-18 11:50:40,Beijing3
晴,17,2023-03-18 14:50:23,Beijing3
晴,17,2023-03-18 15:19:53,Beijing3
晴,17,2023-03-18 15:19:53,Beijing3
晴,17,2023-03-18 15:50:23,Beijing3
晴,17,2023-03-18 16:20:38,Beijing3
晴,17,2023-03-18 16:20:38,Beijing3
晴,17,2023-03-18 16:49:56,Beijing3
晴,17,2023-03-18 17:20:35,Beijing3
晴,17,2023-03-18 17:20:35,Beijing3
晴,16,2023-03-18 17:50:41,Beijing3
晴,16,2023-03-18 18:21:21,Beijing3
晴,16,2023-03-18 18:21:21,Beijing3
晴,14,2023-03-18 18:50:09,Beijing3
晴,14,2023-03-18 19:20:37,Beijing3
晴,14,2023-03-18 19:20:37,Beijing3
晴,13,2023-03-18 19:50:36,Beijing3
晴,13,2023-03-18 20:20:29,Beijing3
晴,13,2023-03-18 20:20:29,Beijing3
晴,11,2023-03-18 20:50:27,Beijing3
晴,11,2023-03-18 21:20:41,Beijing3
晴,11,2023-03-18 21:20:41,Beijing3
晴,9,2023-03-18 21:49:51,Beijing3
晴,9,2023-03-18 22:20:36,Beijing3
晴,9,2023-03-18 22:20:36,Beijing3
晴,11,2023-03-18 22:50:10,Beijing3
晴,11,2023-03-18 23:20:20,Beijing3
晴,11,2023-03-18 23:20:20,Beijing3
晴,10,2023-03-18 23:50:09,Beijing3
晴,10,2023-03-19 00:20:29,Beijing3
晴,12,2023-03-19 12:20:20,Beijing3
晴,14,2023-03-19 12:50:45,Beijing3
晴,14,2023-03-19 13:21:05,Beijing3
晴,14,2023-03-19 13:21:05,Beijing3
霾,14,2023-03-19 13:49:52,Beijing3
霾,14,2023-03-19 14:19:50,Beijing3
霾,14,2023-03-19 14:19:50,Beijing3
霾,14,2023-03-19 14:49:36,Beijing3
霾,14,2023-03-19 15:20:45,Beijing3
霾,14,2023-03-19 15:20:45,Beijing3
霾,15,2023-03-19 15:49:57,Beijing3
霾,15,2023-03-19 16:20:51,Beijing3
霾,15,2023-03-19 16:20:51,Beijing3
晴,15,2023-03-19 16:50:08,Beijing3
晴,15,2023-03-19 17:20:25,Beijing3
晴,15,2023-03-19 17:20:25,Beijing3
晴,13,2023-03-19 17:50:33,Beijing3
晴,13,2023-03-19 18:23:05,Beijing3
晴,13,2023-03-19 18:23:05,Beijing3
霾,12,2023-03-19 18:50:39,Beijing3
霾,12,2023-03-19 19:20:51,Beijing3
霾,12,2023-03-19 19:20:51,Beijing3
霾,12,2023-03-19 19:50:02,Beijing3
霾,12,2023-03-19 20:20:05,Beijing3
霾,11,2023-03-19 20:50:19,Beijing3
霾,11,2023-03-19 20:50:19,Beijing3
霾,11,2023-03-19 21:20:32,Beijing3
霾,10,2023-03-19 21:50:13,Beijing3
霾,10,2023-03-19 21:50:13,Beijing3
霾,10,2023-03-19 22:19:53,Beijing3
霾,10,2023-03-19 22:50:42,Beijing3
霾,10,2023-03-19 22:50:42,Beijing3
霾,10,2023-03-19 23:20:42,Beijing3
霾,9,2023-03-19 23:49:49,Beijing3
